frame_counter,prob_free,prob_left,prob_right,prob_blocked,direction,force,rot_force,rot_force_p_component,rot_force_d_component,n_frames_stuck,exploration
162,0.926,0.005,0.068,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
163,0.901,0.001,0.098,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
164,0.862,0.009,0.129,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
165,0.865,0.002,0.133,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
166,0.932,0.005,0.063,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
167,0.922,0.009,0.068,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
168,0.903,0.003,0.093,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
169,0.879,0.003,0.117,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
170,0.939,0.002,0.059,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
171,0.789,0.005,0.206,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
172,0.795,0.006,0.199,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
173,0.927,0.0,0.073,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
174,0.889,0.003,0.108,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
175,0.782,0.005,0.213,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
176,0.753,0.003,0.244,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
177,0.834,0.027,0.137,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
178,0.511,0.008,0.48,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
179,0.831,0.007,0.161,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
180,0.894,0.003,0.103,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
181,0.895,0.012,0.092,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
182,0.564,0.107,0.324,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
183,0.334,0.019,0.64,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
184,0.539,0.04,0.418,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
185,0.833,0.093,0.063,0.012,FWRD,0.3,0.0,0.0,0.0,0,False
186,0.794,0.016,0.189,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
187,0.818,0.059,0.117,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
188,0.753,0.021,0.224,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
189,0.337,0.129,0.515,0.019,FWRD,0.3,0.0,0.0,0.0,0,False
190,0.336,0.078,0.582,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
191,0.336,0.23,0.423,0.011,FWRD,0.3,0.0,0.0,0.0,0,False
192,0.058,0.317,0.619,0.005,RGHT,0.06,0.06,0.054,0.005,1,False
193,0.046,0.081,0.856,0.017,RGHT,0.16,0.163,0.14,0.024,2,False
194,0.0,0.75,0.041,0.208,LEFT,0.2,-0.202,-0.128,-0.074,3,False
195,0.003,0.044,0.703,0.25,RGHT,0.19,0.187,0.118,0.068,4,False
196,0.019,0.095,0.042,0.845,LEFT,0.05,-0.045,-0.01,-0.036,5,False
197,0.496,0.036,0.451,0.017,FWRD,0.3,0.0,0.0,0.0,0,False
198,0.496,0.081,0.254,0.168,FWRD,0.3,0.0,0.0,0.0,0,False
199,0.039,0.019,0.045,0.897,LEFT,0.0,-0.003,0.005,-0.007,1,False
200,0.347,0.146,0.163,0.344,FWRD,0.3,0.0,0.0,0.0,0,False
